,query,category,intent,sentiment
847,can you help me to correct the delivery address?,,,
848,I need assistance with a shipping address change,,,
849,I do not know how I can change the shipping address,,,
850,I need help changing the shipping address,,,
851,how do I change my shipping address?,,,
852,I cannot update my delivery addrses,,,
853,need to modify my shipping address,,,
854,I try to correct my shipping address,,,
855,there are problems updating the delivery address,,,
856,how to change my shipping address?,,,
857,i do not know what to do to correct my shipping  address,,,
858,need support correcting my goddamn delivery address,,,
859,can you tell me about a shipping address change?,,,
860,I would like to know about changing my shipping address,,,
861,i have issues trying to correct my shipping address,,,
862,would it be possible to change my shipping address?,,,
863,could you tell me more about changing my shipping address?,,,
864,can you give me information about a shipping address change?,,,
865,there is an issue updating my delivery address,,,
866,I try to change the shipping address,,,
867,I need supports trying to edit my address,,,
868,I do not know what to do to change my shipping address,,,
869,I can't change the shipping address,,,
870,I'm looking for information about changing my address,,,
871,I have got to change the shipping address,,,
872,my shipping address changed,,,
873,I don't know what to do to edit the address,,,
874,help me change the shipping address,,,
875,I need information about modifying the address,,,
876,is it possible to edit the delivery address?,,,
877,I have chosen a wrong shipping address,,,
878,the shipping address has changed can uchange it,,,
879,help me changing the shipping address,,,
880,I can't change my shipping address,,,
881,want assistance trying to correct my shipping address,,,
882,where to change the delivery address?,,,
883,tell me about changing my shipping address,,,
884,how can I change my shipping address?,,,
885,the shipping address has changed,,,
886,want support trying to edit the shipping address,,,
887,can you help me change my shipping address?,,,
888,I want to know about changing my shipping address,,,
889,assistance to change my shipping address,,,
890,where to change my shipping address?,,,
891,I don't know what I have to do to change my shipping address,,,
892,I cannot modify the  shipping address,,,
893,I need supports trying to update the shipping address,,,
894,i want support updatng the address,,,
895,need to modify thedelivery address can uhelp me,,,
896,I need help trying to change the shipping address,,,
897,help with a shipping address change,,,
898,assistance with a shipping address change,,,
899,i want assistance to change the address,,,
900,I want to know more about a shipping address change,,,
901,how can I find information about a shipping address change?,,,
902,I need information about a shipping address change,,,
903,I chose a wrong shipping address by mistake,,,
904,I want assistance changing my shipping address,,,
905,I have an issue changing the shipping address,,,
906,I don't know what I need to do to check the early exit fees,,,
907,assistance to check the early termination penalty,,,
908,i cannot find the early exit penalties can uhelp me,,,
909,i want assistance checking the early  exit fee,,,
910,I need assistance to check the cancellation fee,,,
911,I cannot find the cancellation fee,,,
912,help me to check the cancellation fee,,,
913,want help to see the cancellation penaltyh,,,
914,need help seeing the withdrawal penalties,,,
